Title,Cited by,Level,Researcher,Citation
Context-aware saliency detection,592,R2-D,MM,\cite{goferman2012context}
A modified Artificial Bee Colony algorithm for real-parameter optimization,456,R2-D,NN,\cite{akay2012modified}
Measuring the objectness of image windows,424,R1,OC,\cite{alexe2012measuring}
Blind image quality assessment: A natural scene statistics approach in the DCT domain,415,R1,OC,\cite{saad2012blindimage}
RASL: Robust alignment by sparse and low-rank decomposition for linearly correlated images,292,R1,NN,\cite{peng2012rasl}
Cooperatively coevolving particle swarms for large scale optimization,287,R2-D,OC,\cite{li2012cooperatively}
Learning sparse representations for human action recognition,186,R2-D,OC,\cite{guha2012learning}
Single image super-resolution with non-local means and steering kernel regression,175,R3,OC,\cite{zhang2012single}
Multi-modal multi-task learning for joint prediction of multiple regression and classification variables in Alzheimer's disease,173,R3,OC,\cite{zhang2012multi}
Development and investigation of efficient artificial bee colony algorithm for numerical function optimization,163,R2-D,MM,\cite{li2012development}
